愛	いと.しい, かな.しい, め.でる, お.しむ, まな	アイ	love, affection, favourite	en-us	Grade4
案	つくえ	アン	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench	en-us	Grade4
以	もっ.て	イ	by means of, because, in view of, compared with	en-us	Grade4
位	くらい, ぐらい	イ	rank, grade, throne, crown, about, some	en-us	Grade4
囲	かこ.む, かこ.う, かこ.い	イ	surround, besiege, store, paling, enclosure, encircle, preserve, keep	en-us	Grade4
胃		イ	stomach, paunch, crop, craw	en-us	Grade4
衣	ころも, きぬ, -ぎ	イ, エ	garment, clothes, dressing	en-us	Grade4
印	しるし, -じるし, しる.す	イン	stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India	en-us	Grade4
栄	さか.える, は.え, -ば.え, は.える, え	エイ, ヨウ	flourish, prosperity, honor, glory, splendor	en-us	Grade4
英	はなぶさ	エイ	England, English, hero, outstanding, calyx	en-us	Grade4
塩	しお	エン	salt	en-us	Grade4
億		オク	hundred million, 10**8	en-us	Grade4
下	した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる	カ, ゲ	below, down, descend, give, low, inferior	en-us	Grade4
加	くわ.える, くわ.わる	カ	add, addition, increase, join, include, Canada	en-us	Grade4
果	は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て	カ	fruit, reward, carry out, achieve, complete, end, finish, succeed	en-us	Grade4
課		カ	chapter, lesson, section, department, division, counter for chapters (of a book)	en-us	Grade4
貨	たから	カ	freight, goods, property	en-us	Grade4
芽	め	ガ	bud, sprout, spear, germ	en-us	Grade4
改	あらた.める, あらた.まる	カイ	reformation, change, modify, mend, renew, examine, inspect, search	en-us	Grade4
械	かせ	カイ	contraption, fetter, machine, instrument	en-us	Grade4
害		ガイ	harm, injury	en-us	Grade4
街	まち	ガイ, カイ	boulevard, street, town	en-us	Grade4
各	おのおの	カク	each, every, either	en-us	Grade4
覚	おぼ.える, さ.ます, さ.める, さと.る	カク	memorize, learn, remember, awake, sober up	en-us	Grade4
完		カン	perfect, completion, end	en-us	Grade4
官		カン	bureaucrat, the government, organ	en-us	Grade4
管	くだ	カン	pipe, tube, wind instrument, drunken talk, control, jurisdiction	en-us	Grade4
観	み.る, しめ.す	カン	outlook, look, appearance, condition, view	en-us	Grade4
関	せき, -ぜき, かか.わる, からくり, かんぬき	カン	connection, barrier, gateway, involve, concerning	en-us	Grade4
願	ねが.う, -ねがい	ガン	petition, request, vow, wish, hope	en-us	Grade4
喜	よろこ.ぶ, よろこ.ばす	キ	rejoice, take pleasure in	en-us	Grade4
器	うつわ	キ	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set	en-us	Grade4
希	まれ	キ, ケ	hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal	en-us	Grade4
旗	はた	キ	national flag, banner, standard	en-us	Grade4
機	はた	キ	loom, mechanism, machine, airplane, opportunity, potency, efficacy, occasion	en-us	Grade4
季		キ	seasons	en-us	Grade4
紀		キ	chronicle, account, narrative, history, annals, geologic period	en-us	Grade4
議		ギ	deliberation, consultation, debate, consideration	en-us	Grade4
救	すく.う	キュウ	salvation, save, help, rescue, reclaim	en-us	Grade4
求	もと.める	キュウ, グ	request, want, wish for, require, demand	en-us	Grade4
泣	な.く	キュウ	cry, weep, moan	en-us	Grade4
給	たま.う, たも.う, -たま.え	キュウ	salary, wage, gift, allow, grant, bestow on	en-us	Grade4
挙	あ.げる, あ.がる, こぞ.る	キョ	raise, plan, project, behavior, actions	en-us	Grade4
漁	あさ.る	ギョ, リョウ	fishing, fishery	en-us	Grade4
競	きそ.う, せ.る, くら.べる	キョウ, ケイ	emulate, compete with, bid, sell at auction, bout, contest, race	en-us	Grade4
共	とも, とも.に, -ども	キョウ	together, both, neither, all, and, alike, with	en-us	Grade4
協		キョウ	co-, cooperation	en-us	Grade4
鏡	かがみ	キョウ, ケイ	mirror, speculum, barrel-head, round rice-cake offering	en-us	Grade4
極	きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる	キョク, ゴク	poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48	en-us	Grade4
訓	おし.える, よ.む, くん.ずる	クン, キン	instruction, Japanese character reading, explanation, read	en-us	Grade4
軍	いくさ	グン	army, force, troops, war, battle	en-us	Grade4
郡	こおり	グン	county, district	en-us	Grade4
型	かた, -がた	ケイ	mould, type, model	en-us	Grade4
径	みち, こみち, さしわたし, ただちに	ケイ	diameter, path, method	en-us	Grade4
景		ケイ	scenery, view	en-us	Grade4
芸	う.える, のり, わざ	ゲイ, ウン	technique, art, craft, performance, acting, trick, stunt	en-us	Grade4
欠	か.ける, か.く	ケツ, ケン	lack, gap, fail, yawning radical (no. 76)	en-us	Grade4
結	むす.ぶ, ゆ.う, ゆ.わえる	ケツ, ケチ	tie, bind, contract, join, organize, do up hair, fasten	en-us	Grade4
健	すこ.やか	ケン	healthy, health, strength, persistence	en-us	Grade4
建	た.てる, た.て, -だ.て, た.つ	ケン, コン	build	en-us	Grade4
験	あかし, しるし, ため.す, ためし	ケン, ゲン	verification, effect, testing	en-us	Grade4
固	かた.める, かた.まる, かた.まり, かた.い	コ	harden, set, clot, curdle	en-us	Grade4
候	そうろう	コウ	climate, season, weather, wait for, expect	en-us	Grade4
功	いさお	コウ, ク	achievement, merits, success, honor, credit	en-us	Grade4
