圧	お.す, へ.す, おさ.える, お.さえる	アツ, エン, オウ	pressure, push, overwhelm, oppress, dominate	en-us	Grade5
易	やさ.しい, やす.い	エキ, イ	easy, ready to, simple, fortune-telling, divination	en-us	Grade5
移	うつ.る, うつ.す	イ	shift, move, change, drift, catch (cold&#x002C; fire), pass into	en-us	Grade5
因	よ.る, ちな.む	イン	cause, factor, be associated with, depend on, be limited to	en-us	Grade5
営	いとな.む, いとな.み	エイ	occupation, camp, perform, build, conduct (business)	en-us	Grade5
永	なが.い	エイ	eternity, long, lengthy	en-us	Grade5
衛		エイ, エ	defense, protection	en-us	Grade5
液		エキ	fluid, liquid, juice, sap, secretion	en-us	Grade5
益	ま.す	エキ, ヤク	benefit, gain, profit, advantage	en-us	Grade5
演		エン	performance, act, play, render, stage	en-us	Grade5
往	い.く, いにしえ, さき.に, ゆ.く	オウ	journey, travel, chase away, let go, going, before, formerly	en-us	Grade5
応	あた.る, まさに, こた.える	オウ, ヨウ, -ノウ	apply, answer, yes, OK, reply, accept	en-us	Grade5
恩		オン	grace, kindness, goodness, favor, mercy, blessing, benefit	en-us	Grade5
仮	かり, かり-	カ, ケ	sham, temporary, interim, assumed (name), informal	en-us	Grade5
価	あたい	カ, ケ	value, price	en-us	Grade5
可	-べ.き, -べ.し	カ, コク	can, passable, mustn&apos;t, should not, do not	en-us	Grade5
河	かわ	カ	river	en-us	Grade5
過	す.ぎる, -す.ぎる, -す.ぎ, す.ごす, あやま.つ, あやま.ち, よ.ぎる	カ	overdo, exceed, go beyond, error	en-us	Grade5
賀		ガ	congratulations, joy	en-us	Grade5
解	と.く, と.かす, と.ける, ほど.く, ほど.ける, わか.る, さと.る	カイ, ゲ	unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute	en-us	Grade5
快	こころよ.い	カイ	cheerful, pleasant, agreeable, comfortable	en-us	Grade5
格		カク, コウ, キャク, ゴウ	status, rank, capacity, character, case (law&#x002C; grammar)	en-us	Grade5
確	たし.か, たし.かめる	カク, コウ	assurance, firm, tight, hard, solid, confirm, clear, evident	en-us	Grade5
額	ひたい	ガク	forehead, tablet, plaque, framed picture, sum, amount, volume	en-us	Grade5
刊		カン	publish, carve, engrave	en-us	Grade5
幹	みき	カン	tree trunk	en-us	Grade5
慣	な.れる, な.らす	カン	accustomed, get used to, become experienced	en-us	Grade5
眼	まなこ, め	ガン, ゲン	eyeball	en-us	Grade5
基	もと, もとい	キ	fundamentals, radical (chem), counter for machines, foundation	en-us	Grade5
寄	よ.る, -よ.り, よ.せる	キ	draw near, stop in, bring near, gather, collect, send, forward	en-us	Grade5
