会う,あう,,to meet,en-us,JLPT 5
青,あお,,blue,en-us,JLPT 5
青い,あおい,,blue,en-us,JLPT 5
赤,あか,,red,en-us,JLPT 5
赤い,あかい,,red,en-us,JLPT 5
明い,あかるい,,bright,en-us,JLPT 5
秋,あき,,autumn,en-us,JLPT 5
開く,あく,,"to open,to become open",en-us,JLPT 5
開ける,あける,,to open,en-us,JLPT 5
上げる,あげる,,to give,en-us,JLPT 5
朝,あさ,,morning,en-us,JLPT 5
朝御飯,あさごはん,,breakfast,en-us,JLPT 5
,あさって,,day after tomorrow,en-us,JLPT 5
足,あし,,"foot,leg",en-us,JLPT 5
明日,あした,,tomorrow,en-us,JLPT 5
,あそこ,,over there,en-us,JLPT 5
遊ぶ,あそぶ,,"to play,to make a visit",en-us,JLPT 5
暖かい,あたたかい,,warm,en-us,JLPT 5
頭,あたま,,head,en-us,JLPT 5
新しい,あたらしい,,new,en-us,JLPT 5
,あちら,,there,en-us,JLPT 5
暑い,あつい,,hot,en-us,JLPT 5
熱い,あつい,,hot to the touch,en-us,JLPT 5
厚い,あつい,,"kind, deep, thick",en-us,JLPT 5
,あっち,,over there,en-us,JLPT 5
後,あと,,afterwards,en-us,JLPT 5
,あなた,,you,en-us,JLPT 5
兄,あに,,(humble) older brother,en-us,JLPT 5
姉,あね,,(humble) older sister,en-us,JLPT 5
,あの,,that over there,en-us,JLPT 5
,あの,,um...,en-us,JLPT 5
,,アパート,apartment,en-us,JLPT 5
,あびる,,"to bathe,to shower",en-us,JLPT 5
危ない,あぶない,,dangerous,en-us,JLPT 5
甘い,あまい,,sweet,en-us,JLPT 5
,あまり,,not very,en-us,JLPT 5
雨,あめ,,rain,en-us,JLPT 5
飴,あめ,,candy,en-us,JLPT 5
洗う,あらう,,to wash,en-us,JLPT 5
,ある,,"to be,to have (used for inanimate objects)",en-us,JLPT 5
歩く,あるく,,to walk,en-us,JLPT 5
,あれ,,that,en-us,JLPT 5
,いい/よい,,good,en-us,JLPT 5
,いいえ,,no,en-us,JLPT 5
言う,いう,,to say,en-us,JLPT 5
家,いえ,,house,en-us,JLPT 5
,いかが,,how,en-us,JLPT 5
行く,いく,,to go,en-us,JLPT 5
,いくつ,,"how many?,how old?",en-us,JLPT 5
,いくら,,how much?,en-us,JLPT 5
池,いけ,,pond,en-us,JLPT 5
医者,いしゃ,,medical doctor,en-us,JLPT 5
,いす,,chair,en-us,JLPT 5
忙しい,いそがしい,,"busy,irritated",en-us,JLPT 5
痛い,いたい,,painful,en-us,JLPT 5
一,いち,,one,en-us,JLPT 5
一日,いちにち,,"(1) one day, (2) first of month",en-us,JLPT 5
,いちばん,,"best,first",en-us,JLPT 5
,いつ,,when,en-us,JLPT 5
五日,いつか,,"five days, fifth day",en-us,JLPT 5
一緒,いっしょ,,together,en-us,JLPT 5
五つ,いつつ,,five,en-us,JLPT 5
,いつも,,always,en-us,JLPT 5
犬,いぬ,,dog,en-us,JLPT 5
今,いま,,now,en-us,JLPT 5
意味,いみ,,meaning,en-us,JLPT 5
妹,いもうと,,(humble) younger sister,en-us,JLPT 5
嫌,いや,,unpleasant,en-us,JLPT 5
入口,いりぐち,,entrance,en-us,JLPT 5
